CVE ID,Channel ID,Message,Timestamp,Message URL
CVE-2021-29952,1714838658,"出 FireFox漏洞，可以注入任意代码

受影响系统：
Mozilla Firefox < 88.0.1
Mozilla Firefox for Android < 88.1.3
描述：
----------------------------------------------------
CVE(CAN) ID: CVE-2021-29952

火狐88.0.1以前的系统，皆可以注入。拿到shell 
[具体请联系我](https://t.me/ZzSafe)， @ZzSafe",2025-04-22 11:54:42.799093,https://t.me/Z_Security/12
CVE-2021-29952,1714838658,"出 FireFox漏洞，可以注入任意代码

受影响系统：
Mozilla Firefox < 88.0.1
Mozilla Firefox for Android < 88.1.3
描述：
----------------------------------------------------
CVE(CAN) ID: CVE-2021-29952

火狐88.0.1以前的系统，皆可以注入。拿到shell 
[具体请联系我](https://t.me/ZzSafe)， @ZzSafe",2025-04-22 11:54:42.823519,https://t.me/Z_Security/11
CVE-2022-22785,1385513396,"CVE-2022-22785
Description: The Zoom Client for Meetings (for Android, iOS, Linux, MacOS, and Windows) before version 5.10.0 failed to properly constrain client session cookies to Zoom domains. This issue could be used in a more sophisticated attack to send an unsuspecting users Zoom-scoped session cookies to a non-Zoom domain. This could potentially allow for spoofing of a Zoom user.
Link: https://cve.circl.lu/cve/CVE-2022-22785",2025-04-22 11:54:48.035956,https://t.me/CVE_Updates/17556
CVE-2022-22784,1385513396,"CVE-2022-22784
Description: The Zoom Client for Meetings (for Android, iOS, Linux, MacOS, and Windows) before version 5.10.0 failed to properly parse XML stanzas in XMPP messages. This can allow a malicious user to break out of the current XMPP message context and create a new message context to have the receiving users client perform a variety of actions.This issue could be used in a more sophisticated attack to forge XMPP messages from the server.
Link: https://cve.circl.lu/cve/CVE-2022-22784",2025-04-22 11:54:48.036589,https://t.me/CVE_Updates/17555
CVE-2022-1767,1385513396,"CVE-2022-1767
Description: Server-Side Request Forgery (SSRF) in GitHub repository jgraph/drawio prior to 18.0.7.
Link: https://cve.circl.lu/cve/CVE-2022-1767",2025-04-22 11:54:48.036745,https://t.me/CVE_Updates/17554
CVE-2022-1110,1385513396,"CVE-2022-1110
Description: A buffer overflow vulnerability in Lenovo Smart Standby Driver prior to version 4.1.50.0 could allow a local attacker to cause denial of service.
Link: https://cve.circl.lu/cve/CVE-2022-1110",2025-04-22 11:54:48.036857,https://t.me/CVE_Updates/17553
CVE-2021-42852,1385513396,"CVE-2021-42852
Description: A command injection vulnerability was reported in some Lenovo Personal Cloud Storage devices that could allow an authenticated user to execute operating system commands by sending a crafted packet to the device.
Link: https://cve.circl.lu/cve/CVE-2021-42852",2025-04-22 11:54:48.036985,https://t.me/CVE_Updates/17552
CVE-2021-42850,1385513396,"CVE-2021-42850
Description: A weak default administrator password for the web interface and serial port was reported in some Lenovo Personal Cloud Storage devices that could allow unauthorized device access to an attacker with physical or local network access.
Link: https://cve.circl.lu/cve/CVE-2021-42850",2025-04-22 11:54:48.037119,https://t.me/CVE_Updates/17551
CVE-2021-3969,1385513396,"CVE-2021-3969
Description: A Time of Check Time of Use (TOCTOU) vulnerability was reported in IMController, a software component of Lenovo System Interface Foundation, prior to version 1.1.20.3that could allow a local attacker to elevate privileges.
Link: https://cve.circl.lu/cve/CVE-2021-3969",2025-04-22 11:54:48.037263,https://t.me/CVE_Updates/17550
CVE-2022-27801,1385513396,"CVE-2022-27801
Description: Acrobat Reader DC versions 22.001.20085 (and earlier), 20.005.3031x (and earlier) and 17.012.30205 (and earlier) are affected by a use-after-free vulnerability in the processing of annotations that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.
Link: https://cve.circl.lu/cve/CVE-2022-27801",2025-04-22 11:54:48.037438,https://t.me/CVE_Updates/17549
CVE-2022-27799,1385513396,"CVE-2022-27799
Description: Acrobat Reader DC versions 22.001.20085 (and earlier), 20.005.3031x (and earlier) and 17.012.30205 (and earlier) are affected by a use-after-free vulnerability in the processing of the acroform event that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.
Link: https://cve.circl.lu/cve/CVE-2022-27799",2025-04-22 11:54:48.037676,https://t.me/CVE_Updates/17548
CVE-2022-27798,1385513396,"CVE-2022-27798
Description: Acrobat Reader DC versions 22.001.20085 (and earlier), 20.005.3031x (and earlier) and 17.012.30205 (and earlier) are affected by an out-of-bounds write vulnerability that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.
Link: https://cve.circl.lu/cve/CVE-2022-27798",2025-04-22 11:54:48.037860,https://t.me/CVE_Updates/17547
CVE-2022-27797,1385513396,"CVE-2022-27797
Description: Acrobat Reader DC versions 22.001.20085 (and earlier), 20.005.3031x (and earlier) and 17.012.30205 (and earlier) are affected by a use-after-free vulnerability in the processing of annotations that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.
Link: https://cve.circl.lu/cve/CVE-2022-27797",2025-04-22 11:54:48.038041,https://t.me/CVE_Updates/17546
CVE-2022-27796,1385513396,"CVE-2022-27796
Description: Acrobat Reader DC versions 22.001.20085 (and earlier), 20.005.3031x (and earlier) and 17.012.30205 (and earlier) are affected by a use-after-free vulnerability in the processing of the acroform event that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.
Link: https://cve.circl.lu/cve/CVE-2022-27796",2025-04-22 11:54:48.038224,https://t.me/CVE_Updates/17545
CVE-2022-27795,1385513396,"CVE-2022-27795
Description: Acrobat Reader DC versions 22.001.20085 (and earlier), 20.005.3031x (and earlier) and 17.012.30205 (and earlier) are affected by a use-after-free vulnerability in the processing of the acroform event that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.
Link: https://cve.circl.lu/cve/CVE-2022-27795",2025-04-22 11:54:48.038407,https://t.me/CVE_Updates/17544
CVE-2022-28238,1385513396,"CVE-2022-28238
Description: Acrobat Reader DC versions 22.001.20085 (and earlier), 20.005.3031x (and earlier) and 17.012.30205 (and earlier) are affected by a use-after-free vulnerability in the processing of annotations that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.
Link: https://cve.circl.lu/cve/CVE-2022-28238",2025-04-22 11:54:48.038593,https://t.me/CVE_Updates/17543
CVE-2022-28237,1385513396,"CVE-2022-28237
Description: Acrobat Reader DC versions 22.001.20085 (and earlier), 20.005.3031x (and earlier) and 17.012.30205 (and earlier) are affected by a use-after-free vulnerability in the processing of annotations that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.
Link: https://cve.circl.lu/cve/CVE-2022-28237",2025-04-22 11:54:48.038819,https://t.me/CVE_Updates/17542
CVE-2022-28236,1385513396,"CVE-2022-28236
Description: Acrobat Reader DC versions 22.001.20085 (and earlier), 20.005.3031x (and earlier) and 17.012.30205 (and earlier) are affected by an out-of-bounds write vulnerability that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.
Link: https://cve.circl.lu/cve/CVE-2022-28236",2025-04-22 11:54:48.039001,https://t.me/CVE_Updates/17541
CVE-2022-28235,1385513396,"CVE-2022-28235
Description: Acrobat Reader DC versions 22.001.20085 (and earlier), 20.005.3031x (and earlier) and 17.012.30205 (and earlier) are affected by a use-after-free vulnerability in the processing of the acroform event that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.
Link: https://cve.circl.lu/cve/CVE-2022-28235",2025-04-22 11:54:48.039177,https://t.me/CVE_Updates/17540
CVE-2022-28234,1385513396,"CVE-2022-28234
Description: Acrobat Reader DC versions 22.001.20085 (and earlier), 20.005.3031x (and earlier) and 17.012.30205 (and earlier) is affected by a heap-based buffer overflow vulnerability due to insecure handling of a crafted .pdf file, potentially resulting in arbitrary code execution in the context of the current user. Exploitation requires user interaction in that a victim must open a crafted .pdf file
Link: https://cve.circl.lu/cve/CVE-2022-28234",2025-04-22 11:54:48.039365,https://t.me/CVE_Updates/17539
CVE-2022-30596,1385513396,"CVE-2022-30596
Description: A flaw was found in moodle where ID numbers displayed when bulk allocating markers to assignments required additional sanitizing to prevent a stored XSS risk.
Link: https://cve.circl.lu/cve/CVE-2022-30596",2025-04-22 11:54:48.039475,https://t.me/CVE_Updates/17538
CVE-2022-29445,1385513396,"CVE-2022-29445
Description: Authenticated (administrator or higher role) Local File Inclusion (LFI) vulnerability in Wow-Company's Popup Box plugin <= 2.1.2 at WordPress.
Link: https://cve.circl.lu/cve/CVE-2022-29445",2025-04-22 11:54:48.039560,https://t.me/CVE_Updates/17537
CVE-2022-28924,1385513396,"CVE-2022-28924
Description: An information disclosure vulnerability in UniverSIS-Students before v1.5.0 allows attackers to obtain sensitive information via a crafted GET request to the endpoint /api/students/me/courses/.
Link: https://cve.circl.lu/cve/CVE-2022-28924",2025-04-22 11:54:48.039653,https://t.me/CVE_Updates/17536
CVE-2022-25162,1385513396,"CVE-2022-25162
Description: Improper Input Validation vulnerability in Mitsubishi Electric MELSEC iQ-F series FX5U-xMy/z(x=32,64,80, y=T,R, z=ES,DS,ESS,DSS) versions prior to 1.270, Mitsubishi Electric MELSEC iQ-F series FX5UC-xMy/z(x=32,64,96, y=T,R, z=D,DSS) versions prior to 1.270, Mitsubishi Electric MELSEC iQ-F series FX5UC-32MT/DS-TS versions prior to 1.270, Mitsubishi Electric MELSEC iQ-F series FX5UC-32MT/DSS-TS versions prior to 1.270, Mitsubishi Electric MELSEC iQ-F series FX5UC-32MR/DS-TS versions prior to 1.270 and Mitsubishi Electric MELSEC iQ-F series FX5UJ-xMy/z(x=24,40,60, y=T,R, z=ES,ESS) versions prior to 1.030 allows a remote unauthenticated attacker to cause a temporary DoS condition for the product's communication by sending specially crafted packets.
Link: https://cve.circl.lu/cve/CVE-2022-25162",2025-04-22 11:54:48.039861,https://t.me/CVE_Updates/17535
